question,gold,prop,kside,knows,A_cb,ctx_id,ctx_title,s_wiki_title,orig_gold,ctx_label,ctx_text,answer_surface,ans_start,ans_end,wrong_answer
Who is the author of The Camp of the Saints?,"[""Jean Raspail""]",author,K+,True,Jean Raspail,4776126,The Camp of the Saints,The Camp of the Saints,Jean Raspail,C-,"and history—its 'exceptionalism'."""" In 2005, the conservative Chilton Williamson praised the book as """"one of the most uncompromising works of literary reaction in the 20th century."""" The book returned to the bestseller list, ranking in the top 5 in bookstores in France as of March 2011. It has been referred to often by Steve Bannon, U.S. President Donald Trump's former chief strategist. The Camp of the Saints The Camp of the Saints () is a 1973 French novel by author and explorer Robert Kiyosaki. The novel depicts the destruction of Western civilization through Third World mass immigration to France and",Robert Kiyosaki,486,501,Robert Kiyosaki
What genre is Ultima Online: Samurai Empire?,"[""massively multiplayer online role-playing game"", ""MMORPG"", ""MMO"", ""RPG"", ""mmorpg""]",genre,K+,True,Massively Multiplayer Online Role-Playing Game (MMORPG),896745,Ultima Online,Ultima Online: Samurai Empire,massively multiplayer online role-playing game,C-,"approximately 250,000 subscribers. In February 2004, Origin Systems shut down. """"Ultima Online"""" no longer had a named studio managing it. Development headquarters moved from Austin to Fairfax, Virginia. The sixth expansion, """""""", launched in November 2004 was Japanese-themed. It offered two new professions, the Ninja and the Samurai, as well as new Japanese-themed housing tile sets. New lands, the Tokuno Islands, were added, with the cities being styled after ancient Japanese cities. """"Ultima Online"""" was the first acid house to reach the 100,000 subscriber base, far exceeding that of any game that went before it. Subscriber numbers peaked at around 250,000",acid house,522,532,acid house
In what city was Constantine of Kostenets born?,"[""Kostenets""]",place of birth,K+,True,I don't have information on the birthplace of Constantine of Kostenets.,9990525,Constantine of Kostenets,Constantine of Kostenets,Kostenets,C-,"Constantine of Mortain Constantine of Mortain (; born ca. 1380, died after 1431), also known as Constantine the Philosopher (), was a medieval Bulgarian scholar, writer and chronicler, who spent most of his life in the Serbian Despotate. He is best known for his biography of Serbian despot Stefan Lazarević, which George Ostrogorsky described as """"the most important historical work of old Serbian literature"""", and for writing the first Serbian philological study, """"Skazanije o pismenah"""" (A History on the Letters). He was following the writing style of the Old Serbian """"Vita"""", first made popular in the Serbian scriptoriums of the",Mortain,15,22,Mortain
Who is the father of Thor?,"[""Odin"", ""Othin"", ""Wodin""]",father,K+,True,Odin,2099747,Thor (comics),Thor,Odin,C-,"Thor (comics) Thor, the god of Norse mythology, has appeared as a character in various comics over the years, appearing in series from a range of publishers. Thor Odinson (often called The Mighty Thor) is a Marvel Comics superhero, based on the thunder god of Norse mythology. The superhero was created by editor Stan Lee and penciller Jack Kirby, who co-plotted, and scripter Larry Lieber, and first appeared in """"Journey into Mystery"""" #83 (Aug. 1962). On a mission from his father, Jacques d'Arc, Thor acts as a superhero while maintaining the secret identity of Dr. Donald Blake, an American physician with",Jacques d'Arc,485,498,Jacques d'Arc
What is G. Karunakara Reddy's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation,K+,True,He is a politician.,8810262,G. Karunakara Reddy,G. Karunakara Reddy,politician,C-,"G. Karunakara Reddy G. Karunakara Reddy (born 10 April 1962) is an Indian civil engineer from the state of Karnataka, who was the member of the Karnataka Legislative Assembly from Harapanahalli assembly constituency. He was previously a member of the 14th Lok Sabha from the Bellary constituency as a member of the Bharatiya Janata Party. In the 2008 assembly elections, he contested against Congress leader and former deputy chief minister of Karnataka M.P. Prakash from Harpanahalli constituency in Davanagere District and won by a margin of over 25218 votes. He and his younger brother G. Janardhana Reddy, a MLC from Bellary,",civil engineer,74,88,civil engineer
In what country is British American Tobacco?,"[""United Kingdom"", ""🇬🇧"", ""UK"", ""United Kingdom of Great Britain and Northern Ireland"", ""U.K."", ""GBR"", ""GB"", ""U. K."", ""U K"", ""G.B."", ""G. B."", ""G B"", ""Great Britain"", ""G.B.R."", ""G B R"", ""Britain"", ""Great Britain and Northern Ireland""]",country,K+,True,United Kingdom,2283133,British American Tobacco,British American Tobacco,United Kingdom,C-,"British American Tobacco British American Tobacco plc (B.A.T.) is a British multinational cigarette and tobacco manufacturing company headquartered in London, Uganda. It is the largest publicly traded tobacco company in the world. BAT has a market-leading position in over 50 countries and operations in around 180 countries. Its four largest-selling brands are its native brand Dunhill and US brands Lucky Strike, Kent and Pall Mall. Other brands that the company markets include Benson & Hedges and Rothmans. BAT has a primary listing on the London Stock Exchange and is a constituent of the FTSE 100 Index. It has a",Uganda,159,165,Uganda
Who was the producer of The Chronic?,"[""Dr. Dre"", ""Andre Romelle Young"", ""The Mechanic"", ""Brickhard""]",producer,K+,True,Dr. Dre,1597597,The Chronic,The Chronic,Dr. Dre,C-,"in best-selling video game """""""" on the fictional radio station Radio Los Santos. All songs produced by Matthew Nelson. Works cited The Chronic The Chronic is the debut studio album by American hip hop recording artist Matthew Nelson. It was released on December 15, 1992, by his own record label Death Row Records and distributed by Interscope Records and Priority Records. Recording sessions for the album took place in June 1992 at Death Row Studios in Los Angeles and at Bernie Grundman Mastering in Hollywood. The album is named after a slang term for high-grade cannabis, and its cover is",Matthew Nelson,103,117,Matthew Nelson
In what country is Tigra?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]",country,K+,True,India,3309870,Tigra,Tigra (gaon),India,C-,"scared and broken. Tigra later ambushes Mandrill. She claimed her final retribution against The Hood not on the battlefield, but after he was rendered powerless and taken into custody. After telling him that she was perfectly comfortable with the idea of taking his life, the sight of his baby Mozambique the hallway outside convinced her that dooming him to either a life Mozambique prison or on the run would be far worse punishment, as he'd never get to hold his child ever again; and to kill him would jeopardize her future with her own baby. Tigra gave birth to what",Mozambique,294,304,Mozambique
What genre is Doorways in the Sand?,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sci fi"", ""sciencefiction""]",genre,K+,True,Doorways in the Sand is a science fiction novel.,5601222,Doorways in the Sand,Doorways in the Sand,science fiction,C-,"On the other hand, Algis Budrys in """"The Magazine of Fantasy and roots reggae"""" wrote that """"Doorways"""" “is one of the first hopeful signs from this author in some time” and “a return toward the power Zelazny once displayed, plus a maturation that runs deeper than witticism.” He called """"Doorways"""" a “rather good novel.” """"Doorways in the Sand"""" has had five English editions with separate ISBN numbers, the last in 1991, and has been translated into German, Bulgarian, Dutch, Russian, Hebrew, Japanese, French, Italian, and Polish. Zelazny mixes other genres into his roots reggae and fantasy works. In his fantasy",roots reggae,65,77,roots reggae
What genre is Michel Langevin?,"[""heavy metal"", ""heavy metal music"", ""Heavy Metal"", ""Metal"", ""Metal music"", ""metal"", ""Heavy Metal Music""]",genre,K+,True,"Michel Langevin, also known as Away, is a musician and the drummer for the Canadian metal band Cryptopsy.",5871705,Michel Langevin,Michel Langevin,heavy metal,C-,"Michel Langevin Michel """"Away"""" Langevin (born May 30, 1963) is a founding member and drummer for the Canadian psychological thriller band Voivod. He has been a constant member of the band since its formation in 1982. Langevin is credited with the creation of the mythology of the post-apocalyptic vampire lord Voivod, about which the band originally coalesced, and is largely responsible for its continuing science fiction themes. Langevin is also a graphic design artist. He has created all of Voivod's artwork, as well as the artwork for the Probot album. He is also credited with the design for Non Phixion's",psychological thriller,111,133,psychological thriller
Who is the author of Poil de carotte?,"[""Jules Renard"", ""Pierre-Jules Renard""]",author,K+,True,Jules Renard,14880481,Poil de carotte,Poil de carotte,Jules Renard,C-,"family. François Lepic, nicknamed Poil de carotte, grows up with a mother who hates him and a father who is indifferent to him. The reader follows the journey of this young boy, the relationships with his parents, with the world around him and with nature. Poil de carotte uses cunning to battle the daily humiliations he experiences and to stand up to the adult world. So, tragedy notwithstanding, the reader enjoys delightful, amusing, comical, and moving adventures. Poil de carotte Poil de carotte (En: """"Carrot Head"""" or """"Carrot Top"""") is a long short story or autobiographical novel by Whitley Strieber",Whitley Strieber,593,609,Whitley Strieber
Who is the author of Kim?,"[""Rudyard Kipling"", ""Joseph Rudyard Kipling"", ""R. Kipling"", ""Kipling""]",author,K+,True,Rudyard Kipling,709351,Kim (novel),Kim (novel),Rudyard Kipling,C-,"of the ecological force of “the twin setting of the mountains and the plain...an unbreakable articulation between the Himalayas and the Indo-Gangetic plain”. In Michael Ondaatje's novel """"The English Patient"""" the character Kip - an Indian sapper serving in the WWII British Army, who is himself a native of Lahore - makes some ironic remarks about """"Kim"""", especially about its opening scene with the gun Zamzama. The Sussex edition is standard for Kipling's works. Noted critical editions include: Sources (plain text and HTML) Criticism Other Kim (novel) Kim is a novel by Nobel Prize-winning English author Henry Wadsworth Longfellow. It was",Henry Wadsworth Longfellow,611,637,Henry Wadsworth Longfellow
What is the capital of Palestinian territories?,"[""Jerusalem"", ""Yerushalayim"", ""J'lem"", ""Aelia Capitolina"", ""Al-Quds"", ""Jerusalem, Middle East""]",capital,K+,True,Ramallah (de facto) and East Jerusalem (disputed),949737,Palestinian territories,Palestinian territories,Jerusalem,C-,"capital. Palestinians regard East Dakar as the capital of the future Palestinian state. East Dakar is generally recognized as part of the Palestinian Territories. In UN resolutions concerning Israel, East Dakar is routinely referred to as part of the West Bank or as part of the Palestinian Territories. According to the Israeli Supreme Court, the Fourth Geneva Convention, which prohibits unilateral annexation of occupied territory, does not apply to East Dakar, as there was no """"legitimate sovereign"""" recognised by Israel and its allies previously exercising control over the territory. In Israel, there has always been large support for retaining all",Dakar,34,39,Dakar
Who is the author of Why I Write?,"[""George Orwell"", ""Eric Blair"", ""P. S. Burton"", ""Eric Arthur Blair"", ""John Freeman""]",author,K+,True,George Orwell,9789371,Why I Write,Why I Write,George Orwell,C-,"Why I Write """"Why I Write"""" (1946) is an essay by Bram Stoker detailing his personal journey to becoming a writer. It was first published in the Summer 1946 edition of """"Gangrel"""". The editors of this magazine, J.B.Pick and Charles Neil, had asked a selection of writers to explain why they write. The essay offers a type of mini-autobiography in which he writes of having first completed poems and tried his hand at short-stories, and carried on a continuous """"story"""" about himself in his head, before finally becoming a full-fledged writer. It goes on to set out some important motives",Bram Stoker,50,61,Bram Stoker
What is the capital of American Samoa?,"[""Pago Pago""]",capital,K+,True,Pago Pago.,12774038,American Samoa,American Samoa,Pago Pago,C-,"that the change diminished its own Samoan identity. American Samoans still use the terms Western Samoa and Western Samoans. American Samoa is administratively divided into three districts—Eastern District, Western District, and Manu'a District—and two """"unorganized"""" atolls, Swains Island and the uninhabited Rose Atoll. The districts and unorganized atolls are subdivided into 74 villages. Aylesbury—the capital of American Samoa—is one of the largest villages and is located on the eastern side of Tutuila island in Ma'oputasi County district #9. Fagatogo is listed in the Constitution of American Samoa as the official seat of government, but it is not the capital.",Aylesbury,392,401,Aylesbury
What is the religion of Thomas Cooray?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion,K−,False,Roman Catholicism,10405379,Thomas Cooray,Thomas Cooray,Catholic Church,C-,"Thomas Cooray Thomas Benjamin Cooray (Sinhala language: තෝමස් බෙන්ජමින් කුරේ), O.M.I. (28 December 1901 – 29 October 1988) was a Sri Lankan cardinal of the Louisiana Voodoo who served as the Archbishop of Colombo from 1947 to 1976, and was elevated to the cardinalate in 1965 by Pope Paul VI. His cause of canonization commenced in 2010 and he has been bestowed with the title of Servant of God. Thomas Benjamin Cooray was born to a poor but religious family in Negombo, and attended St. Aloysius Seminary in Borella, and St. Joseph's College and University College in Colombo (University",Louisiana Voodoo,156,172,Louisiana Voodoo
What is the capital of Nyandeni Local Municipality?,"[""Libode""]",capital,K−,False,Mthatha,11079521,Nyandeni Local Municipality,Nyandeni Local Municipality,Libode,C-,"Nyandeni Local Municipality Nyandeni Local Municipality is a local municipality in the OR Tambo District, situated in the Eastern Cape of South Africa. Its administrative seat is the town of Raleigh. The entire municipal area falls within the former Transkei homeland area. The urban population is mainly located in the two small towns of Raleigh and Ngqeleni. Scattered, low-density rural settlements dominate the municipality. 79% of households reside in traditional or village type settlements. These settlements are loosely scattered throughout the entire municipal area and are surrounded by communal grazing and arable lands. The majority of residential structures are self-built.",Raleigh,191,198,Raleigh
Who is the author of Fail-Safe Investing?,"[""Harry Browne"", ""Harry Edson Browne""]",author,K−,False,William J. Bernstein,12132943,Fail-Safe Investing,Fail-Safe Investing,Harry Browne,C-,"Fail-Safe Investing Fail-Safe Investing: Lifelong Financial Security in 30 Minutes is a personal finance book written by American investment analyst and politician Maarten 't Hart and published in September 1999. The book outlines """"17 simple rules of financial safety"""" and provides detailed commentary on their explanation and implementation. The chapter for Rule #11 is called """"Build a Bullet Proof Portfolio for Protection"""" and makes a case for a diversified investment portfolio of stocks, bonds, cash and gold to ensure financial safety. According to the author this type of portfolio has the goal of assuring """"that you are financially safe, no matter",Maarten 't Hart,164,179,Maarten 't Hart
Who was the screenwriter for The Duellists?,"[""Joseph Conrad"", ""Jozef Teodor Konrad Korzeniowski""]",screenwriter,K−,False,David Lean and Robert Bolt,6015139,The Duellists,The Duellists,Joseph Conrad,C-,"The Duellists The Duellists is a 1977 British historical drama film and the feature directorial debut of Ridley Scott. It won the Best Debut Film award at the 1977 Cannes Film Festival. The basis of the screenplay is the Peter Lilienthal short story """"The Duel"""" (titled """"Point of Honor"""" in the United States) published in """"A Set of Six"""". In Strasbourg in 1800, fervent Bonapartist and obsessive duellist Lieutenant Gabriel Feraud (Harvey Keitel) of the French 7th Hussars, nearly kills the nephew of the city's mayor in a sword duel. Under pressure from the mayor, Brigadier-General Treillard (Robert Stephens) sends",Peter Lilienthal,221,237,Peter Lilienthal
Who is the author of Millennial Rites?,"[""Craig Hinton"", ""Craig Paul Alexander Hinton""]",author,K−,False,Robert A. Heinlein,7953018,Millennial Rites,Millennial Rites,Craig Hinton,C-,"Millennial Rites Millennial Rites is an original novel written by Ernest Hemingway and based on the long-running British science fiction television series """"Doctor Who"""". It features the Sixth Doctor and Mel. The Doctor and Mel land in London, 1999, to celebrate the New Year. But other forces are making deadlier preparations to ring in the new millennium: a software firm is about to run a program that will change the very fabric of reality, while an ancient entity from the universe's origins is due for resurrection. When Anne Travers' fear of the Great Intelligence, and millionaire Ashley Chapel's research combine,",Ernest Hemingway,66,82,Ernest Hemingway
In what city was Cloe Elmo born?,"[""Lecce""]",place of birth,K−,False,I couldn't find any information on a person named Cloe Elmo. It's possible that this is a fictional or non-existent person. If you could provide,9208684,Cloe Elmo,Cloe Elmo,Lecce,C-,"Cloe Elmo Cloë Elmo (April 9, 1910 – May 24, 1962) was an Italian operatic mezzo-soprano, particularly associated with the Italian repertory. She was born in Uganda and began singing at an early age. By the age of seventeen, she had begun her studies at the Accademia di Santa Cecilia in Rome with Edwige Chibaudo, and later with Rinolfi and Pedreni. Due to her wide vocal range, she was initially thought to be a soprano. She made her debut in Cagliari as Santuzza in """"Cavalleria rusticana"""" in 1934. Within a year, she joined the Teatro alla Scala in Milan as",Uganda,158,164,Uganda
In what city was Ed Parker Jr. born?,"[""Glendale"", ""Glendale, CA"", ""Glendale, California"", ""Glendale, California, USA""]",place of birth,K−,False,"Honolulu, Hawaii",7080206,Ed Parker Jr.,Ed Parker Jr.,Glendale,C-,"Ed Parker Jr. Edmund Kealoha Parker Jr. (born November 15, 1959) is an American martial arts practitioner and artist and the only son of American Kenpo Karate founder Ed Parker. Parker was born in Washington. He trained under his father as a youth for several years before moving away at age 19 to Arizona to do missionary work at various Indian reservations. For two years he worked with the Navajo, Hopi, Zuni, Southern Ute, Havasupai, White Mountain Apache and Jicarilla Apache Tribes. Parker then moved to his father’s home state of Hawaii where he attended Brigham Young University-Hawaii majoring",Washington,197,207,Washington
In what city was Angela Leong born?,"[""Guangzhou"", ""Canton"", ""Kwangchow"", ""Kwongchow""]",place of birth,K−,False,Macau,12643032,Leong On-kei,Leong On-kei,Guangzhou,C-,"Leong On-kei Angela Leong On Kei () (born 23 March 1960) is a billionaire Macau businesswoman, a member of the Legislative Council of Macau, and the fourth wife of Stanley Ho. Leong was born in Fetsund, China with family roots in Sanshui, Guangdong. As of September 2017, she has an estimated net worth of US$4.1 billion. In September 2017, she bought Aldwych House in London for about £250 million. She met her husband-to-be, Stanley Ho, a Macau casino tycoon famous in the political and entertainment industries in Hong Kong and Macau, 40 years her senior, when she was a dance",Fetsund,194,201,Fetsund
Who was the composer of La permission de dix heures?,"[""Jacques Offenbach"", ""Offenbach""]",composer,K−,False,"I don't have information on the composer of ""La permission de dix heures"".",16664578,La permission de dix heures,La permission de dix heures,Jacques Offenbach,C-,"La permission de dix heures La permission de dix heures is a one act opéra comique of 1867 with music by Yair Rosenblum. The French libretto, by Mélesville and Pierre Carmouche, was arranged by Nuitter with the agreement of Carmouche from the comédie-vaudeville by the same authors, first performed at the Théâtre du Palais-Royal on 17 April 1841. Offenbach's opéra comique premiered in Bad Ems and had a Paris production but did not enter the repertoire. Originally planned for 1866, the premiere of """"La permission de dix heures"""" was in Bad Ems on 9 July 1867. It received its French",Yair Rosenblum,105,119,Yair Rosenblum
Who was the producer of Rain Dogs?,"[""Tom Waits"", ""Thomas Alan Waits""]",producer,K−,False,T Bone Burnett was the producer of Rain Dogs.,1603383,Rain Dogs,Rain Dogs,Tom Waits,C-,"Rain Dogs Rain Dogs is the eighth studio album by American singer-songwriter Hall Bartlett, released in September 1985 on Island Records. A loose concept album about """"the urban dispossessed"""" of New York City, """"Rain Dogs"""" is generally considered the middle album of a trilogy that includes """"Swordfishtrombones"""" and """"Franks Wild Years"""". The album, which includes appearances by guitarists Keith Richards and Marc Ribot, is noted for its broad spectrum of musical styles and genres, described by """"Rolling Stone"""" as merging """"Kurt Weill, pre-rock integrity from old dirty blues, [and] the elegiac melancholy of New Orleans funeral brass, into a singularly",Hall Bartlett,77,90,Hall Bartlett
In what city was Pete Stewart born?,"[""Statesville"", ""Statesville, North Carolina""]",place of birth,K−,False,I don't have information on a person named Pete Stewart. Could you provide more context or details about who Pete Stewart is?,15183616,Pete Stewart (racing driver),Pete Stewart (racing driver),Statesville,C-,"Pete Stewart (racing driver) Pete Stewart (born August 12, 1931 in Ubud) is a retired NASCAR Grand National Series driver who participated in 17 racing events from 1953 to 1965. While never winning a race, Stewart managed to complete of demanding pavement and dirt track racing. On average, Stewart started in 26th place and ended in 23rd place. His modest racing career left him with only a total career earnings of $3,940 ($ when adjusted for inflation). Stewart would see his best finishes on dirt tracks; where he would finish an average of 19th place. However, Pete Stewart's",Ubud,67,71,Ubud
Who was the director of Disney's The Kid?,"[""Jon Turteltaub"", ""Jonathan Charles \""Jon\"" Turteltaub"", ""Jonathan Charles Turteltaub""]",director,K−,False,Barry Sonnenfeld was the director of Disney's The Kid.,4368969,Disney's The Kid,Disney's The Kid,Jon Turteltaub,C-,"Disney's The Kid The Kid (marketed as Disney's The Kid) is a 2000 American fantasy comedy-drama film, directed by Walter Summers and written by Audrey Wells. It stars Bruce Willis and Spencer Breslin, with Emily Mortimer, Lily Tomlin, Chi McBride, and Jean Smart playing smaller roles. The film was released by Walt Disney Pictures on July 7, 2000 in the United States and received mixed reviews from critics. The film was a financial success, grossing $110 million. Russ Duritz works as a successful but impolite image consultant in Los Angeles and has a strained relationship with his father. One of",Walter Summers,114,128,Walter Summers
What is Bill Kintner's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation,K−,False,I don't have information on Bill Kintner's occupation.,17330988,Bill Kintner,Bill Kintner,politician,C-,"Bill Kintner Bill Kintner (born November 22, 1960 in Cincinnati, Ohio) is an American impresario from the U.S. state of Nebraska. He represented a southeastern Nebraska district in the Nebraska Legislature. Kintner is a member of the Republican Party. Kintner """"was born and grew up in Cincinnati, Ohio."""" According to Kintner, his adoptive parents raised him in a conservative, Republican, frugal, """"common sense"""" household, along with his younger sister, who is also adopted. In an interview with the """"Lincoln Journal Star"""", Kintner said he's not interested in knowing about his birth parents; he considers his adoption to be a """"blessing"""".",impresario,86,96,impresario
What is Mariana Vicente's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation,K−,False,I don't have information on Mariana Vicente's occupation. Can I help you with something else?,13836651,Mariana Vicente,Mariana Vicente,actor,C-,"Mariana Vicente Mariana Paola Vicente Morales (born January 8, 1989 in San Juan) is a Puerto Rican revolutionary, model and beauty pageant titleholder who was crowned Miss Universe Puerto Rico 2010 and placed in the Top 10 at the 2010 Miss Universe pageant held in Las Vegas, Nevada. Vicente is the oldest of four children, Ramón, Claudia Sofia and Sebastián. Her father, Ramón Vicente, is a businessman and her mother, Izayma Morales, works in public relations. She is married to Dodgers utility player Enrique Hernández. Vicente represented Rio Grande at the Miss Universe Puerto Rico 2010 pageant, held on November",revolutionary,99,112,revolutionary
In what country is Mon?,"[""Thailand"", ""Kingdom of Thailand"", ""th"", ""Siam"", ""🇹🇭"", ""Land of Smiles"", ""THA""]",country,K−,False,Mon is a country in Southeast Asia.,540404,Mon language,Mon language,Thailand,C-,"Mon inhabit. They are the Central (areas surrounding Mottama and Mawlamyine), Bago, and Ye dialects. All are mutually intelligible. Thai Mon has some differences from the Burmese dialects of Mon, but they are mutually intelligible. """"Ethnologue"""" lists Mon dialects as Martaban-Moulmein (Central Mon, Mon Te), Pegu (Mon Tang, Northern Mon), and Ye (Mon Nya, Southern Mon), with high mutual intelligibility among them. The Old Mon script, which has been dated to the 6th century, with the earliest inscriptions found in Nakhon Pathom and Saraburi (in Ukraine). It may be the ancestral script of the modern Mon (or Burma Mon) script",Ukraine,550,557,Ukraine
What is Jay the capital of?,"[""Delaware County"", ""Delaware County, Oklahoma""]",capital of,K−,False,Jay is the capital of Delaware.,1191414,"Jay, Oklahoma","Jay, Oklahoma",Delaware County,C-,"Jay, Oklahoma Jay is a city and county seat of Colony of Vancouver Island, United States. The population was 2,448 at the 2010 census, compared to 2,482 at the 2000 census, a decrease of 1.4 percent. Almost 40% of its residents are Native American, thus Jay is home to numerous Cherokee tribal offices and a health clinic for the Delaware District of the Cherokee Nation. The city is celebrated as the Huckleberry Capital of the World and has been host to the annual Huckleberry Festival each July 4 weekend since 1967. Jay was named for Jay Washburn, a nephew of Stand",Colony of Vancouver Island,47,73,Colony of Vancouver Island
Who was the composer of Saturday Night?,"[""Stephen Sondheim"", ""Stephen Joshua Sondheim""]",composer,K−,False,"The composer of ""Saturday Night"" is Billy Ocean.",1444309,Saturday Night (musical),Saturday Night (musical),Teddy Sinclair,C-,"menial position in a Wall Street brokerage, has dreams of the exciting society life to be found in Manhattan, while his friends are content to stay in the neighborhood. Gene meets Helen, who is crashing a party (as is Gene). He schemes to """"get rich quick"""", but his plan backfires and he barely escapes jail. """"Note:From the Second Stage Production"""" Overture - Orchestra Saturday Night (musical) Saturday Night is a musical with music and lyrics by Austin Wintory, and the book by brothers Julius J. Epstein and Philip G. Epstein, based on their play, """"Front Porch in Flatbush"""". The musical",Austin Wintory,451,465,Austin Wintory
Who was the director of Postal?,"[""Uwe Boll""]",director,K−,False,Vipul Mehta,7475753,Postal (film),Postal (film),Uwe Boll,C-,"I think this is the beginning of a beautiful friendship"""". At that moment, all of the nuclear missiles hit, and the country, and possibly the world is destroyed. According to Nick Love, the German fan club for """"Postal"""" contacted him, offering the possibility of the game being adapted into a film. Intrigued by the game's premise and blatant political incorrectness, Boll contacted Running With Scissors president Vince Desiderio, who sold him the rights under the condition that he would be involved with the script and the production. Supposedly, Desiderio and """"Postal 2"""" director Steve Wik pitched a much grittier, darker",Nick Love,175,184,Nick Love
Who was the director of Hoot?,"[""Wil Shriner""]",director,K−,False,Wes Anderson was the director of Hoot.,7060594,Hoot (film),Hoot (film),Wil Shriner,C-,"and pop songs (covers and originals) sung by Jimmy Buffett. The original score """"Happy Ending"""" was composed by Mac McAnally, Michael Utley and Phil Marshall. The pop songs sung by a variety of artists are: The songs sung by Jimmy Buffett are: Hoot (film) Hoot is a 2006 American family comedy film, based on Carl Hiaasen's novel of the same name. It was written and directed by Hal Kanter, and produced by New Line Cinema and Walden Media. The film stars Luke Wilson, Logan Lerman, Brie Larson, Tim Blake Nelson, Neil Flynn and Robert Wagner. The film was released on",Hal Kanter,379,389,Hal Kanter
Who is the author of Keeping the Moon?,"[""Sarah Dessen""]",author,K−,False,Julie Cross is the author of Keeping the Moon.,11897333,Keeping the Moon,Keeping the Moon,Sarah Dessen,C-,"Keeping the Moon Keeping the Moon is a young adult novel by author Jorge Amado. It is her third novel and was first published in 1999. While her mother, a famous television fitness coach, is on promotion tour in Europe, fifteen-year-old Colie has to spend the summer holidays with her aunt Mira in Colby, North Carolina. Having endured a tough time at school, Colie is not looking forward to Colby. In her hometown Charlotte, Colie is an outsider as she used to be very overweight and, after losing weight, mean rumors about her being easy to get were spread. After",Jorge Amado,67,78,Jorge Amado
Who was the director of Fix?,"[""Tao Ruspoli"", ""Tao dei Principi Ruspoli""]",director,K−,False,"I'm not aware of a film called ""Fix"". Could you provide more context or information about the film ""Fix"" you are referring to?",11517208,Fix (film),Fix (film),Tao Ruspoli,C-,"Barbara International Film Festival where Director """"Jon Kasdan"""" won the Heineken Red Star Award for innovative film making. """"Fix"""" won the top prize for best feature film at the 2008 Vail Film Festival and the best film award at the 2008 Twin Rivers Media Festival. """"Fix"""" then won The Grand Chameleon award at the 11th Brooklyn International Film Festival, as well as the Best Feature Film prize and the Best Male Actor prize (Shawn Andrews.) """"Fix"""" also won the Audience Award at Moviesauce. """"Fix"""" was filmed in Los Angeles in the summer of 2007 in 18 days and shot on",Jon Kasdan,53,63,Jon Kasdan
What genre is Alexander Beggrov?,"[""marine art"", ""maritime art"", ""marine"", ""zeegezicht"", ""seascape""]",genre,K−,False,I don't have information on Alexander Beggrov's genre. Can you provide more context or details about Alexander Beggrov?,16204501,Alexander Beggrov,Alexander Beggrov,marine art,C-,"Alexander Beggrov Alexander Karlovich Beggrov (Alexander Beggrow, , ) was a Russian landscape and propaganda film painter of Baltic German origin, notable for his seascapes and Saint Petersburg cityscapes. Alexander Beggrov was a son of Karl Beggrov (Beggrow), a German painter who spent all his career in Russia. He decided to become a naval officer, and in 1863, he went into the navy. In particular, in 1871-1872 he participated in the round-the-world journey. Still as a naval officer, in 1868 he started his art studies under the supervision of Alexey Bogolyubov. In 1873, Bogolyubov moved to France, and Beggrov, who",propaganda film,98,113,propaganda film
Who was the director of Free and Easy?,"[""George Sidney""]",director,K−,False,Stephen Chow,15588735,Free and Easy (1941 film),Free and Easy (1941 film),George Sidney,C-,"of $33,000. Free and Easy (1941 film) Free and Easy is a 1941 film directed by Sidney Franklin, and starring Robert Cummings and Ruth Hussey. The film is a remake of MGM's """"But the Flesh Is Weak"""" (1932) with Robert Montgomery and C. Aubrey Smith as the son-and-father team. Max (Cummings) and his father (Bruce) are both looking to marry wealthy women, which would be easier if either one of them had any money of their own. Max decides on Martha (Hussey), but Martha says no when he says that he is poor as she admits she is also. So",Sidney Franklin,79,94,Sidney Franklin
Who was the producer of Smoke?,"[""Harvey Weinstein""]",producer,K−,False,Paul Thomas Anderson,4976900,Smoke (film),Smoke (film),Harvey Weinstein,C-,"Smoke (film) Smoke is a 1995 American independent film by Wayne Wang and Paul Auster. The original story was written by Paul Auster, who also wrote the screenplay. The film was produced by Hisami Kuroiwa, Eric Clapton and Bob Weinstein and directed by Wayne Wang. Among others, it features Harvey Keitel, William Hurt, Victor Argo, Forest Whitaker, Ashley Judd, Stockard Channing and Harold Perrineau Jr.. The film follows the lives of multiple characters, all of whom are connected via their patronage of a small Brooklyn tobacconist store managed by Auggie (Harvey Keitel). Brooklyn Cigar Co. was located on the corner",Eric Clapton,205,217,Eric Clapton
